Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,product_name,category,description
2,2010-01-10,1827440.43,0,69.24,2.603,211.3298742,8.163,2010,1,1,Boneless Chicken Breast,Meat,Fresh boneless skinless chicken breasts
9,2010-01-10,495692.19,0,69.08,2.603,215.2141341,6.56,2010,1,1,Basmati Rice,Pantry,5 lbs Long Grain Aromatic Basmati Rice
22,2010-01-10,905987.17,0,69.31,2.717,136.6297571,8.572,2010,1,1,Premium Toilet Paper,Household,"Ultra soft 2-ply bath tissue, 12 rolls"
14,2010-01-10,1855703.66,0,70.58,2.707,182.7168385,8.724,2010,1,1,Antibacterial Hand Soap,Personal Care,Liquid antibacterial hand soap pump
30,2010-01-10,445475.3,0,70.28,2.603,211.3298742,8.163,2010,1,1,Boneless Chicken Breast,Meat,Fresh boneless skinless chicken breasts
45,2010-01-10,690007.76,0,70.58,2.707,182.7168385,8.724,2010,1,1,Fuji Apples,Produce,Fresh crisp sweet Fuji apples
33,2010-01-10,224294.39,0,91.45,3.001,126.2346,9.265,2010,1,1,Large Brown Eggs,Dairy,1 Dozen Farm Fresh Large Brown Eggs
15,2010-01-10,566945.95,0,59.69,2.84,132.7568,8.067,2010,1,1,Boneless Chicken Breast,Meat,Fresh boneless skinless chicken breasts
34,2010-01-10,865709.11,0,70.13,2.619,126.2346,10.21,2010,1,1,Premium Toilet Paper,Household,"Ultra soft 2-ply bath tissue, 12 rolls"
18,2010-01-10,948977.5,0,67.76,2.717,132.7568,9.331,2010,1,1,Antibacterial Hand Soap,Personal Care,Liquid antibacterial hand soap pump
37,2010-01-10,529877.93,0,74.66,2.603,210.4404433,8.476,2010,1,1,Basmati Rice,Pantry,5 lbs Long Grain Aromatic Basmati Rice
26,2010-01-10,923221.52,0,57.8,2.717,132.7568,8.149,2010,1,1,Premium Toilet Paper,Household,"Ultra soft 2-ply bath tissue, 12 rolls"
36,2010-01-10,422169.47,0,74.66,2.567,210.4404433,8.476,2010,1,1,Premium Toilet Paper,Household,"Ultra soft 2-ply bath tissue, 12 rolls"
3,2010-01-10,358784.1,0,73.6,2.603,214.9846548,7.564,2010,1,1,Large Brown Eggs,Dairy,1 Dozen Farm Fresh Large Brown Eggs
13,2010-01-10,1765584.48,0,68.74,2.853,126.2346,7.795,2010,1,1,Orange Juice,Beverages,"100% pure orange juice, no pulp"
8,2010-01-10,804105.49,0,68.7,2.603,215.0310029,6.433,2010,1,1,Antibacterial Hand Soap,Personal Care,Liquid antibacterial hand soap pump
7,2010-01-10,448998.73,0,49.99,2.759,190.6738241,9.137,2010,1,1,Whole Wheat Bread,Bakery,Freshly baked 100% whole wheat bread
24,2010-01-10,1215273.2,0,66.88,2.84,132.7568,8.275,2010,1,1,Premium Toilet Paper,Household,"Ultra soft 2-ply bath tissue, 12 rolls"
17,2010-01-10,829207.27,0,60.07,2.853,126.2346,6.885,2010,1,1,Orange Juice,Beverages,"100% pure orange juice, no pulp"
29,2010-01-10,474698.01,0,69.31,2.717,132.7568,10.524,2010,1,1,Whole Wheat Bread,Bakery,Freshly baked 100% whole wheat bread
43,2010-01-10,657108.77,0,77.93,2.603,203.5934286,10.21,2010,1,1,Antibacterial Hand Soap,Personal Care,Liquid antibacterial hand soap pump
38,2010-01-10,360256.58,0,85.2,3.001,126.2346,14.313,2010,1,1,Organic Whole Milk,Dairy,1 Gallon Organic Whole Milk
40,2010-01-10,891152.33,0,62.01,2.717,132.7568,5.287,2010,1,1,Fuji Apples,Produce,Fresh crisp sweet Fuji apples
